Model,Train_R2,Test_R2,CV_R2_Mean,CV_R2_Std,RMSE,MAE
Decision Tree,0.7876934778209366,-0.29590456436216694,0.07223059574922515,0.5867965958354281,7.557487413019118,4.997530864197531
Random Forest,0.8629794286756169,0.38067204573711266,0.20344004728419912,0.7469764736039884,5.224578564487631,3.6367188792688863
