ISO3,Country,Region,Geographic_Zone,SurveyYear,Data_Source_ANC,Data_Source_TFR,Data_Source_Socioeconomic,Skilled_ANC_pct,No_ANC_pct,Skilled_Delivery_pct,Health_Facility_Delivery_pct,TFR,Adolescent_Fertility_Rate,General_Fertility_Rate,Care_Efficiency_Index,Risk_Zone,ANC_zscore,TFR_zscore,LISA_ANC,Quad_ANC,LISA_TFR,Quad_TFR,Moran_I_ANC,p_ANC,Moran_I_TFR,p_TFR,n_regions,N_Districts,Total_Population,Poverty_Incidence_mean_pct,Poverty_Intensity_mean_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Illiterate_Population,Uninsured_Population,Total_Population.1,Female_Pop_0_14,Male_Pop_0_14,Female_Pop_15_64,Male_Pop_15_64,Female_Pop_65plus,Male_Pop_65plus,ANC_z,TFR_z
GHA,Ghana,Ashanti,Middle Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.0,7.9,55.5,53.0,5.4,154.0,194.0,16.852,Critical,-0.2499746610847185,0.7438276505180568,0.2762,HH,-0.0184,HL,0.2283,0.02,-0.0507,0.268,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,-0.2679096393840982,0.7570566960852201
GHA,Ghana,Ashanti,Middle Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.8,4.2,57.7,56.7,4.9,121.0,171.0,19.551,Workhorse,0.3743964380952054,0.2652811900449015,0.7219,HH,0.0184,HH,0.363,0.008,0.1156,0.049,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.359065616269972,0.27492031781956494
GHA,Ghana,Ashanti,Middle Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,94.4,4.2,61.1,61.7,4.1,58.0,135.0,23.024,Resilient,0.1922882008343952,-0.5003931467121476,0.3581,HH,-0.0249,LH,0.2579,0.016,0.1109,0.051,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.17619783337086922,-0.49649788740548395
GHA,Ghana,Ashanti,Middle Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.4,1.9,74.1,71.4,3.6,43.0,121.0,27.056,Resilient,0.582520137821848,-0.9789396071853024,-0.3882,HL,-0.0924,LH,0.1475,0.059,-0.0483,0.278,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.5680573681546633,-0.9786342656711386
GHA,Ghana,Ashanti,Middle Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.7,1.3,89.2,88.4,4.2,73.0,140.0,23.5,Resilient,0.7516206438497437,-0.404683854617516,0.1555,HH,0.0528,LL,0.0394,0.134,0.1969,0.022,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.7378631665609737,-0.4000706117523524
GHA,Ghana,Ashanti,Middle Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.7,2.3,,,3.9,61.0,144.0,25.051,Resilient,0.6215433315205928,-0.6918117309014095,-0.1345,HL,0.1066,LL,0.1823,0.024,0.1143,0.026,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.6072433216330423,-0.6893524387117458
GHA,Ghana,Ashanti,Middle Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,100.0,0.0,,,3.5,82.0,119.0,28.571,Resilient,0.9207211498776396,-1.0746488992799337,0.3092,HH,0.0874,LL,-0.0823,0.354,0.2127,0.016,10.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.9076689649672841,-1.07506154132427
GHA,Ghana,Ashanti,Middle Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,100.0,0.0,92.8,91.3,3.5,62.0,118.0,28.571,Resilient,0.9207211498776396,-1.0746488992799337,0.9865,HH,0.4488,LL,-0.1067,0.496,0.5696,0.001,13.0,43.0,5440427.0,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866.0,1524220.0,5440427.0,925929.0,953098.0,1706298.0,1634508.0,128286.0,92308.0,0.9076689649672841,-1.07506154132427
GHA,Ghana,Bono,Middle Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.6,0.9,91.2,89.7,3.7,36.0,119.0,26.649,Resilient,0.7386129126168275,-0.8832303150906714,-0.1284,HL,-0.0777,LH,-0.1067,0.496,0.5696,0.001,13.0,12.0,1208649.0,18.775,42.03333333333334,24.43,14.21,50.43,55.85,295287.0,171697.0,1208649.0,202820.0,210822.0,377388.0,363205.0,31765.0,22649.0,0.7248011820681795,-0.8822069900180076
GHA,Ghana,Central,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,78.2,14.2,31.3,,6.6,171.0,231.0,11.848,Critical,-1.9149642588978493,1.8923391556536289,-0.2637,LH,-0.1248,HL,-0.0435,0.158,-0.0978,0.299,8.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,-1.9398436544616193,1.9141840039227918
GHA,Ghana,Central,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,86.1,13.0,38.1,35.5,5.4,124.0,188.0,15.944,Critical,-0.8873534914975586,0.7438276505180568,0.0396,HH,-0.1893,HL,0.2283,0.02,-0.0507,0.268,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,-0.9079468795309625,0.7570566960852201
GHA,Ghana,Central,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,92.0,6.2,42.9,40.7,4.7,99.0,158.0,19.574,Critical,-0.1198973487555676,0.0738626058556392,0.45,HH,-0.056,HL,0.363,0.008,0.1156,0.049,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,-0.1372897944561668,0.08206576651330269
GHA,Ghana,Central,Southern Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.0,4.0,34.0,33.2,5.0,121.0,166.0,19.0,Workhorse,0.270334588231885,0.3609904821395322,0.4462,HH,-0.407,HL,0.2579,0.016,0.1109,0.051,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.2545697403276273,0.3713475934726956
GHA,Ghana,Central,Southern Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,93.1,3.8,56.7,54.6,5.4,104.0,174.0,17.241,Workhorse,0.0231876948064976,0.7438276505180568,-0.1122,LH,-1.0714,HL,0.1475,0.059,-0.0483,0.278,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.006392034964556953,0.7570566960852201
GHA,Ghana,Central,Southern Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.5,2.5,71.5,70.6,4.7,98.0,163.0,20.745,Workhorse,0.5955278690547623,0.0738626058556392,0.0308,HH,-0.2745,HL,0.0394,0.134,0.1969,0.022,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.5811193526474557,0.08206576651330269
GHA,Ghana,Central,Southern Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,96.7,3.3,,,4.0,113.0,139.0,24.175,Resilient,0.4914660191914419,-0.5961024388067784,0.1065,LL,0.2014,LL,0.1823,0.024,0.1143,0.026,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.47662347670511096,-0.5929251630586146
GHA,Ghana,Central,Southern Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.9,2.1,,,3.9,99.0,136.0,25.103,Resilient,0.6475587939864234,-0.6918117309014095,0.0393,HH,0.1146,LL,-0.0823,0.354,0.2127,0.016,10.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.633367290618629,-0.6893524387117458
GHA,Ghana,Central,Southern Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.6,0.9,84.0,82.5,3.6,60.0,122.0,27.389,Resilient,0.7386129126168275,-0.9789396071853024,-0.1013,HL,0.6879,LL,-0.1067,0.496,0.5696,0.001,13.0,22.0,2857261.0,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309.0,1198076.0,2857261.0,495177.0,509927.0,893703.0,828334.0,77394.0,52726.0,0.7248011820681795,-0.9786342656711386
GHA,Ghana,Eastern,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,88.2,2.9,37.1,,6.0,129.0,209.0,14.7,Critical,-0.6141911356063406,1.3180834030858428,0.0884,HH,0.1799,LL,-0.0435,0.158,-0.0978,0.299,8.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,-0.6336452051823056,1.3356203500040058
GHA,Ghana,Eastern,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,89.1,5.9,55.5,55.5,5.0,134.0,176.0,17.82,Critical,-0.4971215545101059,0.3609904821395322,0.2969,HH,0.0911,LL,0.2283,0.02,-0.0507,0.268,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,-0.5160873447471686,0.3713475934726956
GHA,Ghana,Eastern,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.6,6.6,46.5,46.5,4.5,106.0,160.0,20.356,Emerging,-0.1719282736872286,-0.117555978333623,0.3029,HH,0.0942,LL,0.363,0.008,0.1156,0.049,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,-0.1895377324273401,-0.11078878479295953
GHA,Ghana,Eastern,Southern Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.5,5.5,46.1,42.5,4.3,74.0,138.0,21.279,Emerging,-0.184936004920143,-0.3089745625228853,-0.0474,LH,0.266,LL,0.2579,0.016,0.1109,0.051,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,-0.20259971692013248,-0.30364333609922173
GHA,Ghana,Eastern,Southern Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,94.7,4.0,61.3,59.9,3.6,83.0,126.0,26.306,Resilient,0.2313113945331401,-0.9789396071853024,0.2232,LL,0.2771,LL,0.1475,0.059,-0.0483,0.278,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,0.21538378684924825,-0.9786342656711386
GHA,Ghana,Eastern,Southern Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.7,3.9,68.9,69.3,4.2,98.0,143.0,22.786,Resilient,0.3613887068622911,-0.404683854617516,0.0854,LL,0.18,LL,0.0394,0.134,0.1969,0.022,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,0.34600363177717963,-0.4000706117523524
GHA,Ghana,Eastern,Southern Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,96.2,2.9,,,3.6,58.0,120.0,26.722,Resilient,0.4264273630268665,-0.9789396071853024,0.3948,LL,0.4976,LL,0.1823,0.024,0.1143,0.026,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,0.4113135542411453,-0.9786342656711386
GHA,Ghana,Eastern,Southern Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,99.3,0.7,,,3.3,59.0,111.0,30.091,Resilient,0.8296670312472335,-1.2660674834691958,0.062,HH,0.6652,LL,-0.0823,0.354,0.2127,0.016,10.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,0.8162350735177317,-1.267916092630532
GHA,Ghana,Eastern,Southern Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,99.2,0.4,90.1,89.2,3.5,65.0,118.0,28.343,Resilient,0.8166593000143192,-1.0746488992799337,0.2211,HH,0.7279,LL,-0.1067,0.496,0.5696,0.001,13.0,33.0,2925653.0,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412.0,772731.0,2925653.0,481104.0,504384.0,911367.0,861988.0,96231.0,70579.0,0.8031730890249393,-1.07506154132427
GHA,Ghana,Greater Accra,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.6,5.7,69.7,,4.7,86.0,159.0,19.489,Critical,-0.1719282736872286,0.0738626058556392,0.0993,HH,-0.1632,LH,-0.0435,0.158,-0.0978,0.299,8.0,29.0,5445135.0,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253.0,2157640.0,5445135.0,820623.0,816969.0,1847164.0,1779901.0,102495.0,77983.0,-0.1895377324273401,0.08206576651330269
GHA,Ghana,Greater Accra,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.6,3.9,79.9,79.4,3.4,69.0,119.0,28.118,Resilient,0.3483809756293748,-1.1703581913745649,0.5069,HH,-0.5399,LH,0.2283,0.02,-0.0507,0.268,10.0,29.0,5445135.0,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253.0,2157640.0,5445135.0,820623.0,816969.0,1847164.0,1779901.0,102495.0,77983.0,0.33294164728438536,-1.171488816977401
GHA,Ghana,Greater Accra,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,93.2,6.8,72.8,75.1,2.7,48.0,98.0,34.519,Resilient,0.0361954260394138,-1.840323236036982,0.3618,HH,0.0874,LL,0.363,0.008,0.1156,0.049,10.0,29.0,5445135.0,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253.0,2157640.0,5445135.0,820623.0,816969.0,1847164.0,1779901.0,102495.0,77983.0,0.0194540194573512,-1.846479746549318
GHA,Ghana,Greater Accra,Southern Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,96.5,3.0,81.7,80.1,2.9,37.0,91.0,33.276,Resilient,0.4654505567256114,-1.6489046518477202,0.1364,HH,0.4674,LL,0.2579,0.016,0.1109,0.051,10.0,29.0,5445135.0,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253.0,2157640.0,5445135.0,820623.0,816969.0,1847164.0,1779901.0,102495.0,77983.0,0.45049950771952435,-1.653625195243056
GHA,Ghana,Greater Accra,Southern Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,94.2,2.8,83.2,82.5,2.5,29.0,89.0,37.68,Resilient,0.1662727383685647,-2.031741820226244,0.3531,LL,0.2094,LL,0.1475,0.059,-0.0483,0.278,10.0,29.0,5445135.0,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253.0,2157640.0,5445135.0,820623.0,816969.0,1847164.0,1779901.0,102495.0,77983.0,0.15007386438528256,-2.03933429785558
