SurveyYear,Gini_ANC,Gini_TFR
1988,0.07004585776574968,0.06842359767891693
1993,0.04096793002915433,0.06395348837209291
1998,0.055401341660883396,0.0922246220302374
2003,0.02466289691170087,0.09220779220779196
2008,0.008533641230187738,0.11809523809523803
2014,0.009916760867330954,0.10044843049327357
2016,0.007074451652764768,0.07428571428571407
2019,0.010892911936176475,0.09246231155778872
2022,0.008723542071501722,0.12730886135141462
