model,coef_TFR,se_TFR,p_TFR,coef_year,p_year,n,r2
OLS HC3 simple,-3.927798876740108,0.9739024228627937,5.5057147562837205e-05,,,92,0.28496622218957834
OLS HC3 + year,-1.882292449539838,0.7432181344368445,0.011321216073325655,0.3759707471655897,1.7045198360711002e-12,92,0.5139234621157083
OLS cluster region + year,-1.882292449539838,0.6607001528475835,0.004386570375038609,0.3759707471655897,1.4139802622808866e-05,92,0.5139234621157083
OLS cluster year + year,-1.882292449539838,0.4844164759772143,0.00010203948253900028,0.3759707471655897,1.7432101988134587e-20,92,0.5139234621157083
