model,coef_TFR,se_TFR,p_TFR,n,r2
OLS HC3 + year,-1.882292449539838,0.7432181344368445,0.011321216073325655,92,0.5139234621157083
OLS HC3 + region FE,-4.78770586847255,0.9572121419642786,5.682145978779807e-07,92,0.4144986886149534
OLS HC3 + region FE + year,1.0864261841954392,0.9902047445552352,0.2725656526711444,92,0.6563036567646233
OLS HC3 + survey wave FE,-2.0521109866275027,0.6920374525211613,0.0030237037947417563,92,0.545841353656853
GEE exchangeable by region + year,-0.8389823472687125,0.4815799765287504,0.08148300279572737,92,
