ISO3,Country,Region,Geographic_Zone,SurveyYear,Data_Source_ANC,Data_Source_TFR,Data_Source_Socioeconomic,Skilled_ANC_pct,No_ANC_pct,Skilled_Delivery_pct,Health_Facility_Delivery_pct,TFR,Adolescent_Fertility_Rate,General_Fertility_Rate,Care_Efficiency_Index,Risk_Zone,ANC_zscore,TFR_zscore,LISA_ANC,Quad_ANC,LISA_TFR,Quad_TFR,Moran_I_ANC,p_ANC,Moran_I_TFR,p_TFR,n_regions,N_Districts,Total_Population,Poverty_Incidence_mean_pct,Poverty_Intensity_mean_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Illiterate_Population,Uninsured_Population,Total_Population.1,Female_Pop_0_14,Male_Pop_0_14,Female_Pop_15_64,Male_Pop_15_64,Female_Pop_65plus,Male_Pop_65plus,Risk_Zone_Grand,ANC_z_year,TFR_z_year,Risk_Zone_YearStratified
GHA,Ghana,Ashanti,Middle Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.0,7.9,55.5,53.0,5.4,154.0,194.0,16.852,Critical,-0.2499746610847185,0.7438276505180568,0.2762,HH,-0.0184,HL,0.2283,0.02,-0.0507,0.268,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Critical,0.7532307907698411,0.33702310741886704,Workhorse
GHA,Ghana,Ashanti,Middle Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.8,4.2,57.7,56.7,4.9,121.0,171.0,19.551,Workhorse,0.3743964380952054,0.2652811900449015,0.7219,HH,0.0184,HH,0.363,0.008,0.1156,0.049,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Workhorse,1.0150548377766786,0.31479166519855295,Workhorse
GHA,Ghana,Ashanti,Middle Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,94.4,4.2,61.1,61.7,4.1,58.0,135.0,23.024,Resilient,0.1922882008343952,-0.5003931467121476,0.3581,HH,-0.0249,LH,0.2579,0.016,0.1109,0.051,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,0.5591795568532512,-0.6237006954820207,Resilient
GHA,Ghana,Ashanti,Middle Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.4,1.9,74.1,71.4,3.6,43.0,121.0,27.056,Resilient,0.582520137821848,-0.9789396071853024,-0.3882,HL,-0.0924,LH,0.1475,0.059,-0.0483,0.278,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,1.4182152223917857,-0.6316761657092368,Resilient
GHA,Ghana,Ashanti,Middle Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.7,1.3,89.2,88.4,4.2,73.0,140.0,23.5,Resilient,0.7516206438497437,-0.404683854617516,0.1555,HH,0.0528,LL,0.0394,0.134,0.1969,0.022,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,0.7061814555259234,-0.30260757188927023,Resilient
GHA,Ghana,Ashanti,Middle Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,97.7,2.3,,,3.9,61.0,144.0,25.051,Resilient,0.6215433315205928,-0.6918117309014095,-0.1345,HL,0.1066,LL,0.1823,0.024,0.1143,0.026,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,0.44544691343479226,-0.4381131451601123,Resilient
GHA,Ghana,Ashanti,Middle Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,100.0,0.0,,,3.5,82.0,119.0,28.571,Resilient,0.9207211498776396,-1.0746488992799337,0.3092,HH,0.0874,LL,-0.0823,0.354,0.2127,0.016,10,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,1.0821191805589188,-0.6868053194761828,Resilient
GHA,Ghana,Ashanti,Middle Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,100.0,0.0,92.8,91.3,3.5,62.0,118.0,28.571,Resilient,0.9207211498776396,-1.0746488992799337,0.9865,HH,0.4488,LL,-0.1067,0.496,0.5696,0.001,13,43,5440427,21.72325581395349,42.76046511627907,18.84,28.02,48.76,56.24,1024866,1524220,5440427,925929,953098,1706298,1634508,128286,92308,Resilient,1.4766174063418769,-0.8254464941990249,Resilient
GHA,Ghana,Bono,Middle Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,98.6,0.9,91.2,89.7,3.7,36.0,119.0,26.649,Resilient,0.7386129126168275,-0.8832303150906714,-0.1284,HL,-0.0777,LH,-0.1067,0.496,0.5696,0.001,13,12,1208649,18.775,42.03333333333334,24.43,14.21,50.43,55.85,295287,171697,1208649,202820,210822,377388,363205,31765,22649,Resilient,0.5888351620381658,-0.6344340823182588,Resilient
GHA,Ghana,Central,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,78.2,14.2,31.3,,6.6,171.0,231.0,11.848,Critical,-1.9149642588978493,1.8923391556536289,-0.2637,LH,-0.1248,HL,-0.0435,0.158,-0.0978,0.299,8,22,2857261,24.35,43.58636363636364,21.25,41.93,48.71,58.37,607309,1198076,2857261,495177,509927,893703,828334,77394,52726,Critical,-0.3794680311819398,0.1565687591351315,Critical
